,date,Site ID,pm,Site Name
59,2019-03-01,360610135,7.8,CCNY
60,2019-03-02,360610135,8.2,CCNY
61,2019-03-03,360610135,9.0,CCNY
62,2019-03-04,360610135,7.1,CCNY
63,2019-03-05,360610135,7.5,CCNY
64,2019-03-06,360610135,7.8,CCNY
65,2019-03-07,360610135,8.4,CCNY
66,2019-03-08,360610135,9.7,CCNY
67,2019-03-09,360610135,11.4,CCNY
68,2019-03-10,360610135,6.1,CCNY
69,2019-03-11,360610135,6.0,CCNY
70,2019-03-12,360610135,6.3,CCNY
71,2019-03-13,360610135,9.1,CCNY
72,2019-03-14,360610135,7.4,CCNY
73,2019-03-15,360610135,11.4,CCNY
74,2019-03-16,360610135,3.2,CCNY
75,2019-03-17,360610135,3.5,CCNY
76,2019-03-18,360610135,5.0,CCNY
77,2019-03-19,360610135,6.8,CCNY
78,2019-03-20,360610135,8.6,CCNY
79,2019-03-21,360610135,5.5,CCNY
80,2019-03-22,360610135,3.7,CCNY
81,2019-03-23,360610135,4.5,CCNY
82,2019-03-24,360610135,4.8,CCNY
83,2019-03-25,360610135,7.1,CCNY
84,2019-03-26,360610135,3.9,CCNY
85,2019-03-27,360610135,5.6,CCNY
86,2019-03-28,360610135,6.8,CCNY
87,2019-03-29,360610135,10.2,CCNY
88,2019-03-30,360610135,11.6,CCNY
89,2019-03-31,360610135,7.8,CCNY
90,2019-04-01,360610135,4.1,CCNY
91,2019-04-02,360610135,5.1,CCNY
92,2019-04-03,360610135,4.3,CCNY
93,2019-04-04,360610135,3.0,CCNY
94,2019-04-05,360610135,4.2,CCNY
95,2019-04-06,360610135,5.5,CCNY
96,2019-04-07,360610135,8.1,CCNY
97,2019-04-08,360610135,7.7,CCNY
98,2019-04-09,360610135,6.0,CCNY
99,2019-04-10,360610135,2.7,CCNY
100,2019-04-11,360610135,4.8,CCNY
101,2019-04-12,360610135,7.6,CCNY
102,2019-04-13,360610135,8.8,CCNY
103,2019-04-14,360610135,6.8,CCNY
104,2019-04-15,360610135,3.9,CCNY
105,2019-04-16,360610135,3.1,CCNY
106,2019-04-17,360610135,3.5,CCNY
107,2019-04-18,360610135,8.0,CCNY
108,2019-04-19,360610135,10.3,CCNY
109,2019-04-20,360610135,6.9,CCNY
110,2019-04-21,360610135,6.1,CCNY
111,2019-04-22,360610135,5.4,CCNY
112,2019-04-23,360610135,6.4,CCNY
113,2019-04-24,360610135,4.1,CCNY
114,2019-04-25,360610135,5.2,CCNY
115,2019-04-26,360610135,4.0,CCNY
116,2019-04-27,360610135,3.6,CCNY
117,2019-04-28,360610135,4.9,CCNY
118,2019-04-29,360610135,4.5,CCNY
119,2019-04-30,360610135,7.4,CCNY
58,2019-03-01,360610115,7.8,Intermediate School 143
59,2019-03-02,360610115,10.2,Intermediate School 143
60,2019-03-03,360610115,9.2,Intermediate School 143
61,2019-03-04,360610115,8.4,Intermediate School 143
62,2019-03-05,360610115,8.9,Intermediate School 143
63,2019-03-06,360610115,10.1,Intermediate School 143
64,2019-03-07,360610115,10.1,Intermediate School 143
65,2019-03-08,360610115,10.1,Intermediate School 143
66,2019-03-09,360610115,13.5,Intermediate School 143
67,2019-03-10,360610115,8.2,Intermediate School 143
68,2019-03-11,360610115,8.2,Intermediate School 143
69,2019-03-12,360610115,8.1,Intermediate School 143
70,2019-03-13,360610115,10.6,Intermediate School 143
71,2019-03-15,360610115,12.6,Intermediate School 143
72,2019-03-16,360610115,4.2,Intermediate School 143
73,2019-03-17,360610115,3.6,Intermediate School 143
74,2019-03-18,360610115,5.6,Intermediate School 143
75,2019-03-19,360610115,7.0,Intermediate School 143
76,2019-03-20,360610115,9.8,Intermediate School 143
77,2019-03-21,360610115,4.5,Intermediate School 143
78,2019-03-22,360610115,3.6,Intermediate School 143
79,2019-03-23,360610115,6.3,Intermediate School 143
80,2019-03-24,360610115,5.6,Intermediate School 143
81,2019-03-25,360610115,6.8,Intermediate School 143
82,2019-03-26,360610115,3.6,Intermediate School 143
83,2019-03-27,360610115,7.0,Intermediate School 143
84,2019-03-28,360610115,6.7,Intermediate School 143
85,2019-03-29,360610115,12.2,Intermediate School 143
86,2019-03-30,360610115,11.0,Intermediate School 143
87,2019-03-31,360610115,9.1,Intermediate School 143
88,2019-04-01,360610115,5.2,Intermediate School 143
89,2019-04-02,360610115,3.9,Intermediate School 143
90,2019-04-04,360610115,3.1,Intermediate School 143
91,2019-04-05,360610115,4.2,Intermediate School 143
92,2019-04-06,360610115,4.9,Intermediate School 143
93,2019-04-07,360610115,7.7,Intermediate School 143
94,2019-04-08,360610115,8.5,Intermediate School 143
95,2019-04-09,360610115,5.6,Intermediate School 143
96,2019-04-10,360610115,2.7,Intermediate School 143
97,2019-04-11,360610115,4.0,Intermediate School 143
98,2019-04-12,360610115,6.8,Intermediate School 143
99,2019-04-13,360610115,9.0,Intermediate School 143
100,2019-04-14,360610115,5.1,Intermediate School 143
101,2019-04-15,360610115,3.4,Intermediate School 143
102,2019-04-16,360610115,3.3,Intermediate School 143
103,2019-04-17,360610115,3.4,Intermediate School 143
104,2019-04-18,360610115,6.8,Intermediate School 143
105,2019-04-19,360610115,9.4,Intermediate School 143
106,2019-04-23,360610115,6.6,Intermediate School 143
107,2019-04-25,360610115,3.7,Intermediate School 143
108,2019-04-26,360610115,1.0,Intermediate School 143
109,2019-04-27,360610115,1.8,Intermediate School 143
110,2019-04-28,360610115,3.2,Intermediate School 143
111,2019-04-29,360610115,2.7,Intermediate School 143
112,2019-04-30,360610115,6.2,Intermediate School 143
58,2020-03-01,360610135,5.9,CCNY
59,2020-03-02,360610135,12.3,CCNY
60,2020-03-03,360610135,10.9,CCNY
61,2020-03-04,360610135,4.8,CCNY
62,2020-03-05,360610135,5.2,CCNY
63,2020-03-06,360610135,5.3,CCNY
64,2020-03-07,360610135,5.1,CCNY
65,2020-03-08,360610135,4.9,CCNY
66,2020-03-09,360610135,10.7,CCNY
67,2020-03-10,360610135,10.4,CCNY
68,2020-03-11,360610135,4.4,CCNY
69,2020-03-12,360610135,8.4,CCNY
70,2020-03-13,360610135,5.0,CCNY
71,2020-03-14,360610135,4.9,CCNY
72,2020-03-15,360610135,4.2,CCNY
73,2020-03-16,360610135,5.0,CCNY
74,2020-03-17,360610135,5.3,CCNY
75,2020-03-18,360610135,5.5,CCNY
76,2020-03-19,360610135,4.4,CCNY
77,2020-03-20,360610135,7.8,CCNY
78,2020-03-21,360610135,3.5,CCNY
79,2020-03-22,360610135,6.1,CCNY
80,2020-03-23,360610135,2.7,CCNY
81,2020-03-24,360610135,3.0,CCNY
82,2020-03-25,360610135,4.9,CCNY
83,2020-03-26,360610135,6.1,CCNY
84,2020-03-27,360610135,5.4,CCNY
85,2020-03-28,360610135,5.3,CCNY
86,2020-03-29,360610135,2.3,CCNY
87,2020-03-30,360610135,4.7,CCNY
88,2020-03-31,360610135,1.9,CCNY
89,2020-04-01,360610135,3.6,CCNY
90,2020-04-02,360610135,3.0,CCNY
91,2020-04-03,360610135,2.8,CCNY
92,2020-04-04,360610135,3.2,CCNY
93,2020-04-05,360610135,9.1,CCNY
94,2020-04-06,360610135,4.2,CCNY
95,2020-04-07,360610135,4.4,CCNY
96,2020-04-08,360610135,8.5,CCNY
97,2020-04-09,360610135,3.1,CCNY
98,2020-04-10,360610135,2.9,CCNY
99,2020-04-11,360610135,4.0,CCNY
100,2020-04-12,360610135,8.3,CCNY
101,2020-04-13,360610135,4.0,CCNY
102,2020-04-14,360610135,3.8,CCNY
103,2020-04-15,360610135,3.5,CCNY
104,2020-04-16,360610135,4.4,CCNY
105,2020-04-17,360610135,4.7,CCNY
106,2020-04-18,360610135,3.8,CCNY
107,2020-04-19,360610135,5.9,CCNY
108,2020-04-20,360610135,4.9,CCNY
109,2020-04-21,360610135,5.5,CCNY
110,2020-04-22,360610135,3.4,CCNY
111,2020-04-23,360610135,5.9,CCNY
112,2020-04-24,360610135,4.8,CCNY
113,2020-04-25,360610135,5.9,CCNY
114,2020-04-26,360610135,3.1,CCNY
115,2020-04-27,360610135,1.4,CCNY
116,2020-04-28,360610135,4.6,CCNY
117,2020-04-29,360610135,5.5,CCNY
118,2020-04-30,360610135,5.2,CCNY
58,2020-03-01,360610115,7.2,Intermediate School 143
59,2020-03-02,360610115,13.5,Intermediate School 143
60,2020-03-03,360610115,11.7,Intermediate School 143
61,2020-03-04,360610115,6.2,Intermediate School 143
62,2020-03-05,360610115,6.5,Intermediate School 143
63,2020-03-06,360610115,5.6,Intermediate School 143
64,2020-03-07,360610115,5.2,Intermediate School 143
65,2020-03-08,360610115,6.4,Intermediate School 143
66,2020-03-09,360610115,11.5,Intermediate School 143
67,2020-03-10,360610115,11.5,Intermediate School 143
68,2020-03-11,360610115,5.7,Intermediate School 143
69,2020-03-12,360610115,5.9,Intermediate School 143
70,2020-03-13,360610115,5.5,Intermediate School 143
71,2020-03-14,360610115,5.2,Intermediate School 143
72,2020-03-15,360610115,4.4,Intermediate School 143
73,2020-03-16,360610115,4.4,Intermediate School 143
74,2020-03-17,360610115,6.5,Intermediate School 143
75,2020-03-18,360610115,6.3,Intermediate School 143
76,2020-03-19,360610115,4.3,Intermediate School 143
77,2020-03-20,360610115,9.5,Intermediate School 143
78,2020-03-21,360610115,4.5,Intermediate School 143
79,2020-03-22,360610115,5.8,Intermediate School 143
80,2020-03-23,360610115,2.1,Intermediate School 143
81,2020-03-24,360610115,4.2,Intermediate School 143
82,2020-03-25,360610115,5.4,Intermediate School 143
83,2020-03-26,360610115,6.7,Intermediate School 143
84,2020-03-27,360610115,6.2,Intermediate School 143
85,2020-03-28,360610115,5.0,Intermediate School 143
86,2020-03-29,360610115,1.7,Intermediate School 143
87,2020-03-30,360610115,5.2,Intermediate School 143
88,2020-03-31,360610115,2.2,Intermediate School 143
89,2020-04-01,360610115,4.0,Intermediate School 143
90,2020-04-02,360610115,3.0,Intermediate School 143
91,2020-04-03,360610115,2.3,Intermediate School 143
92,2020-04-04,360610115,2.9,Intermediate School 143
93,2020-04-05,360610115,9.4,Intermediate School 143
94,2020-04-06,360610115,3.6,Intermediate School 143
95,2020-04-07,360610115,5.3,Intermediate School 143
96,2020-04-08,360610115,8.3,Intermediate School 143
97,2020-04-09,360610115,4.2,Intermediate School 143
98,2020-04-10,360610115,4.1,Intermediate School 143
99,2020-04-11,360610115,4.6,Intermediate School 143
100,2020-04-12,360610115,8.1,Intermediate School 143
101,2020-04-13,360610115,5.0,Intermediate School 143
102,2020-04-14,360610115,5.3,Intermediate School 143
103,2020-04-15,360610115,4.7,Intermediate School 143
104,2020-04-16,360610115,5.5,Intermediate School 143
105,2020-04-17,360610115,5.9,Intermediate School 143
106,2020-04-18,360610115,3.5,Intermediate School 143
107,2020-04-19,360610115,7.4,Intermediate School 143
108,2020-04-20,360610115,3.8,Intermediate School 143
109,2020-04-21,360610115,5.0,Intermediate School 143
110,2020-04-22,360610115,4.6,Intermediate School 143
111,2020-04-23,360610115,6.9,Intermediate School 143
112,2020-04-24,360610115,4.6,Intermediate School 143
113,2020-04-25,360610115,6.6,Intermediate School 143
114,2020-04-26,360610115,2.9,Intermediate School 143
115,2020-04-27,360610115,1.0,Intermediate School 143
116,2020-04-28,360610115,4.3,Intermediate School 143
117,2020-04-29,360610115,5.3,Intermediate School 143
118,2020-04-30,360610115,4.6,Intermediate School 143
